# Resultados do Algoritmo Genético
# Sistema: IEEE 123 bus
# Data/Hora: 2025-11-30 06:44:02
# Parâmetros: NG=250, NP=600, NREP=50

cromossomos,fobs
"[46.39187415601049, -11.711222536229874, -35.213585651038954, -32.132667037569426, -21.81591415473227, -23.076978060921082, -122.61702317153389, -126.47485485232865, -86.72914664291743, -6.989901178748979, -122.43747167335331, -68.00327872536388, -104.78872680888675, -97.884466152835, -71.53995892088949, -82.02163277509469, -146.90803696432943, -135.36538503467062, -164.46506200001855, -162.5276003815503, -177.31508214976677, -133.31085058923605, -85.5769869370842, -45.00230183511322, 126.95081750817867, -14.122876632471458, -47.01933341338888, -37.76317880460789, -3.571592176637108, -110.31331355230012, -18.399328691003177, -38.512818759689786, 9.338199099260256, 54.048379726423406, 37.652121282098, -47.294002527047176, 6.721098046118419, -35.49771275415253, 83.89315140188447, 64.12966635965957, 69.45309852910334, -45.82670840832399, 67.50339672759726, 205.5902184905719, 193.36457351720475, 78.7204924734738, 38.87495355892373, 32.137951243537785, 173.78852513104454, 66.98704882308688, 39.1653213590253, 45.885340433178854, 68.9069490174951, 49.81724275844799, 120.16305928780478, 75.93021568115522, 124.40192065384079, 124.46121911620465, 8.024687741651451, 71.64376117297485, 119.42707851281577, 63.96235118971716, 80.48232412159967, 57.524495993927665, 22.82680375483097, 77.96026750949123, 82.00943484252572, 153.48488794648244, 113.34732920612524, 156.9306129759546, 50.127587229098516, 65.29397122805062, 40.0]",1.1877150594234434
"[204.46603972300048, 108.55257903708767, -57.0631303315793, 24.24730424936992, -2.5800890774351393, 10.641771572862202, 8.059771577198669, -126.45575724854822, -113.50030729075095, -80.727726960229, -81.62987632943099, -41.412366523508474, -106.22953842706767, -134.25664902635515, -119.10446888787065, -102.80306874087584, -71.88779184613294, -123.02915584510636, -158.15426054541558, -244.6648801183045, -193.16942493274135, -176.4843161503907, -127.53983324811462, -18.919810302290763, 182.09142982938428, 15.420012657371853, 81.50176509758867, 49.97239795347603, 5.957822226869153, 9.653856618279367, 19.044118728201262, 34.16024917772657, 104.67422878451059, 93.02057035601806, 62.4640212423216, 59.78867200002806, 160.81969899918462, 8.118629591947522, -2.5978712985336743, 102.97619865330853, -6.364707604956541, 49.55676598927798, 136.64624866240595, 114.11540971176822, 207.36168187071755, 49.428219909375514, 108.87349496192793, 9.111950783014201, 212.74011775846017, -67.83211698064235, 37.99208732396553, -56.45952033818233, -16.703574978428943, 192.38154375559282, 41.02165341710599, 63.19718928537816, 83.1187918283636, 32.81688717916922, -12.374918559238719, 105.75686676509477, 127.57509889540879, 115.65632239364263, 48.14364968218697, 35.401730087340226, 130.1963924068999, 106.3882337776664, 149.38452947881257, 117.78706559077055, 128.53763894395235, 101.82506307074817, 36.33933750530865, 43.44792742757256, 6.0]",1.4979586982382194
"[176.91020817195184, -37.3186644397864, -145.6948300377404, -35.790623858613785, 84.59848390782038, -27.290331116228085, 9.139083245843276, -104.65364640512935, -51.88659455465104, -51.77932202732922, -23.39154471100227, -78.81132052179046, -104.66587004921568, -177.80696816818596, -104.32697859758382, -99.4339141746472, -135.2267606768948, -144.68215542291887, -190.5200271470174, -215.25774529652767, -215.8355611577039, -178.3213304634224, -156.45980083528053, -30.953365263522777, 180.52850169148283, 40.07877945230321, 23.946242138782537, -88.33477614712578, -13.200784608062335, -8.32826057587642, 45.22481218332969, 110.06627239307687, -2.7057902361936295, 92.73609456216965, -45.01176885142365, 55.681533768747194, 120.21691598862189, 112.77226662022385, 39.5965614783899, 78.38080763272139, 38.51770097002366, 107.79487335592484, 201.81352174156052, 176.32103628300152, 132.6677603808862, 56.751869933405835, 31.94629684725026, 27.44379033781869, 241.7357440250818, 6.867492355045317, -21.351639543270668, -25.032699882886444, -9.988908664570967, -73.0154012174097, 61.370467921991384, 80.77096708331, 210.88956478746346, 101.65034727659177, 87.93548191487439, 98.20810925298932, 161.63145098116385, 94.25314173523999, 101.93247356646225, 71.06794874094514, 68.30401930383168, 100.10546489076252, 125.6861688170565, 165.43560707991682, 146.1849659633489, 124.91682426144905, 83.21489791770769, 94.58897717887682, 7.0]",1.4605531512219376
"[138.03436709581553, -16.670164172521336, -224.4748433836935, -133.15426373865753, -25.958541369632748, -34.84480072633501, -85.28467585431093, -81.49195755357688, -69.6131646993635, -59.89354372777035, -42.375100706476154, -80.79832915392255, -92.63412740727206, -55.63744149058457, -84.35466958497717, -114.94740271573968, -61.16063664081148, -49.4685930160985, -206.59320240632258, -192.83833192541672, -176.951691020512, -160.96262874294146, -111.12527010817473, -101.08273982878691, 132.54825605888414, -41.32663381702742, 13.480114194875972, -95.09670690974897, -42.44527280249739, -16.97802755888818, 26.093727009714875, 55.364758746659845, 74.14561667002866, 21.031054226572497, 24.253552546704356, 25.867291020013287, 39.82376425563328, 62.907718078406994, 29.829057076831685, -13.391044936510735, 31.909890966547437, 71.19014430758041, 71.56546980317691, 168.09144620400892, 93.12323000671323, 13.685181286399299, -0.7929386152318861, 0.4107029459893321, 282.2441370957811, 120.33395003004495, 104.64020580201063, 49.80050095165857, 109.85447753001976, 101.34833754252494, 63.54819698272681, 115.49695868187949, 98.90153663030873, 97.11883291788655, 110.08199743013704, 77.420850677784, 82.52738939583207, 124.63995696737011, 87.01915099650613, 38.94244024524419, 107.25132834962594, 130.62176959201807, 77.65618355958378, 101.86678417514469, 102.18535913993888, 99.48508963064187, 45.73458508328142, 47.911594362002496, 40.0]",1.073818287845668
"[167.8998194692131, -180.86117848518202, -47.00805226477132, -29.19117982057927, 39.272884945997816, 1.711960507299986, -0.8744055669362457, -102.85915492820023, -95.64195465277564, -99.14580001813296, -66.08180815763149, -132.24789931329164, -185.09527887381222, -154.1516586331395, -83.59013076879732, -226.70520990271172, -138.1349601281138, -102.56919988756161, -235.26209749942407, -184.5282046114992, -236.54161509214816, -206.70415964012068, -83.0723996811656, -67.29844248645338, 171.2705442517097, 50.73474688501599, 142.29405051599414, 10.152727435268488, 32.34755609313916, 39.38822347092072, -26.56732134318922, 52.23419896129797, 95.9077819517951, 31.304787763640075, 58.70923212154099, 92.47568079273876, 131.44575681844543, 85.08641812772252, 21.726792026819968, 39.62951040268051, 91.73451565557343, 116.78456767394705, 119.13077041226573, 282.3114776133913, 100.60155149322877, 88.35607370536128, 81.0688372726673, -22.143531406386188, 191.9352172508815, -112.6135854587333, 80.81095516642725, -10.698266853230063, 12.961754473158129, 13.27626902179448, 109.73859637974064, 99.50247673414547, 160.23633201399727, 63.03276005510312, 71.58763305060637, 48.96045943175822, 78.35269678073159, 107.6160000723601, 127.04914823042425, -2.282227353533929, 73.82937042323397, 160.65366565237667, 88.50421599476476, 193.57225508386912, 127.22219625488968, 102.67451341327464, 119.66599637612244, 5.085563547862509, 6.074652803896785]",1.443293011398508
"[172.171937144349, -36.595398045059625, -48.04168633948185, -6.647009966674488, 85.49191935840535, 14.742564714405987, -96.31580393617133, -79.39029443111872, -121.70449044538772, -71.29400592073357, -71.12163673951001, -118.6144461302016, -80.1444005658572, -176.32728639418386, -76.87591778330469, -52.047997680986704, -99.50764607946488, -126.73165360283994, -166.95556040386987, -196.78954777397146, -169.03370714570173, -177.81344897227706, -70.15543738563575, 29.39975879229911, 176.75613706767018, 30.13112446957284, 215.60480699731187, 73.03831982596701, 22.4766652058061, 89.16427662047937, -49.13338062096254, 142.13332527016797, 46.8307176480829, 38.47889645130843, 76.8802520849364, 47.66935386872206, 188.60610391934983, 51.5234746037842, 101.36882232704068, 153.97741322099452, 27.948547721426824, 15.569838168537943, 71.34234575740967, 191.87483995466678, 98.46147919636816, 8.242234406765256, 90.61036627134393, 51.67459521046388, 196.93279181314813, -23.526214133880032, 26.547487373423838, -62.98131712725407, -41.84790618856062, 2.617175581599661, 13.989205198669246, 107.8490632818082, 168.1051252709213, 86.28899183274541, 51.55968558496585, 66.26942096574852, 182.62685204897255, 47.83083526425781, 111.90261021402878, 119.8568996649201, 126.85712332736925, 136.57134998370495, 179.26111907048286, 187.7169064537639, 212.9458208344884, 138.43902926653243, 129.16839410836812, 82.53735214185579, 9.0]",1.4589123456185344
"[-18.206135230335114, -67.50741647936081, -5.726572736602614, -161.50698787028773, -24.54980294891536, -239.61768209898335, -36.697080167749846, -206.43148018408118, -169.2451455821429, -29.342723591233984, -7.0656382363782235, -101.72666996184726, -95.7893500822085, -98.76902102684498, -205.7541179395585, -54.38328445461018, -104.32900641218819, -130.000966287402, -220.89755061909543, -188.4976106861799, -196.6926857139924, -211.31851196220316, -79.6248211645494, -24.66735452372803, 195.10098184077737, -78.88316645109524, -4.873555438062634, 7.873776555473988, 0.1423299484274952, -27.018928457569213, 4.189920425234165, -39.91866288487934, 48.601701021185484, 60.26506083860861, 47.01917437615652, 18.832483101470945, 102.12270685242805, 4.232856633864396, -30.137727785243992, 18.133891003392637, 41.92653182506668, 29.887912406075113, 63.00313863570563, 132.08893611145706, 71.39770525042591, 66.35592913264728, 94.56307211591403, -29.99085645144234, 196.0000300589577, 63.12615585189308, 141.23934894739085, 83.45015764085947, 127.57147253288679, -18.26930170077526, 111.06960622079846, 18.018896065545604, 8.690595861114438, 137.21318227583987, 151.23412230673048, 56.12881992698494, 142.8486715675346, 91.82583923076574, 11.504131722770152, 109.90118770648074, 73.81220131483282, 98.80763172120679, 110.35668897723728, 143.4175987017659, 111.60151889789383, 73.34417672609109, 106.62193196109139, 129.97096511584775, 40.0]",1.069839880851837
"[85.49441948648986, -50.872723114065145, -90.12208402920788, 17.617959709388284, -12.037064021818608, -21.855976236973497, -14.3398119206578, -129.59236860050518, -104.06512881343407, -71.13768623312639, -83.56229597268474, -81.10144790415455, -118.61503142298587, -85.18903693713334, -149.99726435341435, -47.31711449990823, -161.04239902513416, -80.90532935231353, -134.61006272792096, -179.58470915222946, -156.80031235861713, -183.97205420761156, -95.00033614310482, -33.41033290986632, 130.9745004921911, -34.264110804037884, -57.48859593076363, -97.04546830474345, -177.35659652994377, -45.066680110295, 41.502150351083436, -8.837524005383896, 36.720642262393966, -34.152919746879874, 45.94368171745172, 0.7459705730743325, 46.122763929623574, 32.030492475856725, 52.492527523247745, 41.06017474283538, 75.73451945640105, 39.70434922374357, 96.81696095222239, 131.61076649582213, 135.48686444522156, 63.26102564763142, 32.03735227235607, -67.27329436450687, 215.0644929625435, 67.34789783507772, 37.8990231918088, 106.23340489665993, 68.17746857384543, 90.35379656931308, 143.8559393907018, 15.697205904688465, 75.6348498805446, 76.50100047544119, 59.148401695313304, 67.32649834944851, 99.75759179371327, 94.98359295213734, 39.07004641545058, 104.33705060609289, 52.2631527991713, 88.23171801714845, 112.09991441041338, 124.10319086534915, 89.0624947340757, 18.905239396767243, 54.15302346022147, 108.86985001327474, 40.15693849686577]",1.1167395282829935
"[147.44392843243762, -23.272696377254256, -46.684147736693774, -33.647485554065284, 55.95692476952106, -144.0840902819582, -13.767811746663275, -106.180271949772, -87.97274492857407, -71.47957878719197, -94.51209765626628, -101.524617558693, -224.245724448778, -90.5665457118123, -62.00820846483101, -79.55697234466277, -121.84066928278618, -87.07277789200214, -136.63232839282276, -250.27199660061413, -168.85658329072618, -117.60351645019453, -120.70478166331281, -63.60652192982529, 222.50975950644298, -19.660294359978742, 11.472265421540143, -128.3885796367173, 127.02705803839808, 26.917756113132516, -49.409881439136065, 103.34049974978971, 103.00699952381586, 99.74047654911347, -32.618921379574374, 28.51597922742885, 113.47684639122376, 67.50362002121365, 38.35035663535294, 117.87774150283468, 109.2821531814517, 50.637772661001016, 103.4032767541003, 170.4087453618894, 185.71983334781206, 157.3357613503006, 102.69385752975093, 35.89554512729779, 159.92322618225003, 7.865639807619088, -15.792410624592993, -91.89645520303037, 113.85704734717679, -24.303348294891418, 51.9650172655133, 79.26168435762865, 139.55632968481888, 73.9424239594932, 17.54668068995913, 71.40297595078317, 44.99586197505012, 141.5236175870807, 140.73334809376877, 90.44174060737846, 84.72764946006771, 177.1055833299951, 208.6017455951688, 123.68898075875128, 187.44689180865072, 180.22890222147478, 64.71350753521303, 38.202478206003796, 10.0]",1.461183384905315
"[16.002868061716587, -39.567438285049484, -73.55428348985636, -38.15797177913003, -76.66255594602328, -41.83218199354982, -158.4428295450268, -108.81588587815533, -93.28560601196456, -71.0542837104569, -89.59082986193667, -49.08865123083694, -110.99603337130905, -81.88365421106937, -63.62348948107666, -80.78995831894781, -70.3370218300284, -86.87107037684007, -174.91488022156253, -218.9630589129979, -175.00162433197357, -169.82304344837178, -68.88334445975131, -76.65148424486443, 113.71343481677823, 71.18276929376724, -9.813157848556726, -261.4666061799706, 21.80927876622929, -28.496817471197392, 35.01031800801499, 74.9984277251076, 30.481488163090113, -36.04662581196027, -55.047780885195984, 14.195049836244747, 115.32364737070334, 38.677298610151276, 24.34105263190213, 22.704770940506105, 14.335097057886871, 146.7273320890641, 71.72321476453828, 123.09051101252257, 135.87195494641546, 86.01075307966784, -4.933811807368341, -22.231835477926708, 162.9775812496747, 119.03179985531584, 76.43715352307997, 39.941976731555826, 109.83997695161254, 79.74916137480156, 29.940061682488192, 56.76090682318256, 147.17141760695657, 81.7898225281542, 49.86559579464573, 120.0453031063357, 120.9715703620132, 90.7674078147208, 94.2672200032017, 70.80364873629539, 89.08108679344019, 124.62024889134462, 109.83649368348043, 104.58227052513239, 123.17631760400792, 99.094944505024, 89.57783718240606, 55.90363159970467, 40.0]",1.1020483072281495
