# Resultados do Algoritmo Genético
# Sistema: IEEE 13 bus
# Data/Hora: 2025-11-26 16:55:23
# Parâmetros: NG=150, NP=600, NREP=25

cromossomos,fobs
"[209.56786417453264, 164.27049453500936, -29.200966466977253, -82.44890342115579, 25.394880063856746, 40.94384307497767, 43.719115018176666, 111.20839346562393, 105.6787062357667, 70.77150776106173, 9.250560108444237, 10.737282478735914, 234.12132367559926, 116.04922430309585, 52.333202321279686, 10.4881016673255, 45.437748419608894, 135.9504226201057, 159.64611574974842, 265.8007241952088, 251.38584200088954, 144.6200421589306, 183.53581032616427, 21.019667203516274, 210.26726373613695, -11.987530077896771, -53.6385174366558, -160.10015050051757, -107.47561791856198, 78.75846962219983, -68.57489205877265, -122.44800065227518, -118.25740354169692, -49.41999647961125, -13.373099064319215, -49.44887260743959, -21.230883246359408, -61.44637924030658, -83.56226762626916, -51.650116688487415, -25.72687037539023, -46.297472363409696, 1.1522280048965876, -102.4786750177336, -26.553193337205755, -36.75725281016396, 61.52939806598918, 15.415696523508622, 162.36502026180264, 40.10332718729052, -9.181192760393705, 38.26466458836567, 135.012732455381, -31.165565708135695, -27.816976616284713, -88.4008766008297, -140.7458304232907, -73.47819723331898, -155.24869230258162, -145.95747936785963, -65.78272088600268, -97.18482565569198, -105.11845977609302, -125.45032775706208, -145.2704692247337, -136.06722856484623, -190.64892089088076, -137.93803106753916, -142.26438503594036, -140.0450435380998, -15.01151649660965, -55.122238829552835, 7.0]",1.7195047559541616
"[319.1532358588493, -8.217320399864493, -46.76831693154209, 77.74370592228782, -45.0034370781821, -8.821268487576418, 32.65555350902956, 60.32592861647231, 217.93519601117384, 5.9037985399762665, 238.158451247065, 129.95333509195873, 222.37101787470434, 218.4284385901643, 200.66602043058873, 78.0757516611828, 77.84096968250586, -3.1501043951498997, 489.94266678364687, 438.7301535433965, 236.90501395799456, 197.29793145283787, 48.23422867207449, -5.3375142259432895, 99.65064708491549, 11.289241853102405, -70.08375846509622, 83.96016860527618, -17.8603381047499, -24.522940973601262, -42.91413254805025, -133.56527026409404, -107.39417049075158, -1.6471600575233125, -168.99490892677318, -127.20530248929478, -76.30226894340674, -19.941919926909385, -108.67895910258271, 25.04645045200157, 14.884607053807079, -60.53707284974758, -111.09859350937363, -208.60746595229324, -142.22381854455915, -308.6997015007845, -34.31076251981981, -36.12965534681236, 138.45713474499098, 79.02032902488132, 34.32431822195694, -45.734850279015554, -56.04201749516796, 58.72928599208747, -76.47861246517127, -126.39930839601142, -20.223778934158844, -21.07831717632311, 139.4621891909693, 47.171601527919854, -131.47305925346177, -71.65981986110718, 4.9042378047827375, -47.243987704015524, -116.39503444645646, -284.7408156269432, -8.115754638089227, -80.97542836348049, -224.76951001022033, -81.31791755377188, -103.67207190003403, -21.899495925588834, 3.0]",2.1353925132889815
"[176.16111917564365, 26.792288940870417, -3.9755630288870614, -31.295197403813656, -23.37010242236615, 73.29126576082723, -111.43148479956213, 66.40823427337192, 199.65884435777167, -40.507489757974106, -34.917660044417715, -43.40735417721834, 270.21682084101354, 108.40872758761653, -59.996969501645026, -11.804102642822105, -6.948924071321669, 207.92085652991702, 47.82851319890127, 435.4555400209798, 139.256073118052, 189.9350185778094, 13.369933903369986, 91.15763484163116, 261.2493728425332, 95.52306837837011, -63.49598154130701, 73.07522666827786, 4.100424114315739, -7.498809112258211, 16.036887915577765, -93.61460114223219, -122.10928479083523, -8.102484138226155, 67.52440806007642, -113.68822570637336, -18.339344656254923, -30.42379604983584, 60.35049024236707, -140.8682665507388, -111.77320703808499, -21.721544916174373, -94.17528204168798, -223.08908007121835, -139.34258363086443, -20.70308395214775, -97.2170272734744, -105.02165159819126, 122.66566713220944, -68.8399750413586, 71.30660095039285, -70.95396180549119, 152.83747361720694, 21.3790387222098, -2.9724065306930036, -56.31918787384131, 25.89763341004873, -13.344527089386807, 123.76625304080798, 14.62489873332426, -172.7189476252139, -73.5558628142181, -219.08550239066705, -18.59877748567231, -96.44519080099944, -55.52831495192642, -459.2122638371072, -63.16139433985, -196.52538583931485, -74.66850182519556, -133.48856164796558, -0.29646427280751075, 3.0]",2.2863901414307253
"[231.35744739071555, -11.88508127972269, -53.78611234140817, -365.02146795477245, -0.6654722853245512, 63.99432230532905, 18.264052315661274, 297.80038325177685, 100.08604030474426, -67.18705013426299, 3.2493983218239197, 33.66189741650075, 392.31501852748454, 157.42495459887581, 145.72909379694102, -8.510487775053127, 78.14727878212707, 237.1443258202867, 687.7589588471187, 454.94841389273523, 380.89083272157586, 222.76744378871098, 39.07018910532403, 93.04653308446136, 228.03508808706204, 52.396672077174024, -129.12803528944212, 36.41315894062727, 28.711557156139122, 41.56703756023663, -160.04101749116418, -95.54669889347637, -113.5864500718439, -198.60640064198063, 47.33804450335652, -61.915459198687394, -14.226821216251262, -33.19395307458464, 10.548733428251694, -108.98615283331503, -16.12181324757324, -7.164848925341481, -108.8757057691318, -99.95484852375601, -38.768362295100204, 3.164813963599085, -20.007149606916283, -30.3265701392432, 235.58961036823663, -34.42681184124209, -25.52314228475155, 65.96942053132163, -14.387272821847349, 40.65301889918513, -18.77993488386845, 98.23540604050828, -138.52654478587192, -45.55079359505587, 82.93131413669363, 0.44455505218862534, -83.83660771604154, -76.12044926835422, -144.66334850800285, -84.08988591688816, -175.23148428709467, -90.7668188786213, -130.71808958148162, -89.12196070757412, -80.68451471827176, -104.44546682625352, -191.80408436866958, 78.92732319743261, 3.0]",2.1450145770115068
"[264.1579391848544, -74.27193668187184, 102.65555792484224, 75.85342495908208, 139.47202739281633, -80.12401738019359, 51.731569741927224, 376.7525909540309, 302.2224931908351, 44.32231379881006, 197.07620802525105, 83.05157094585469, 91.45431952181971, 47.292095863982865, 120.31265809248428, 45.02045211763345, 165.13067739418182, 25.67400604926678, 259.0929751238766, 336.1311313867299, 83.96688627050351, 58.02019461901284, 176.7367159362765, 111.00519086406642, 115.51912850987053, 25.369306601814795, -65.76521192254151, 378.88752051026864, 101.09698019171843, -80.19740678768477, 25.93778188821114, 57.77715166167157, -17.76083777239503, -32.95057097614215, 55.01763064031208, -39.06739093454611, -42.26686165409276, 8.495617939450062, -14.346947483788579, -75.22947503457496, 12.60869644362616, -44.94276541063195, -93.78417123897866, -64.45580252576475, -154.27808820711743, -29.834365734799906, 36.2114875684635, -29.2920630744613, 71.72170813864597, -195.5542107206444, 45.72634202862816, 30.149227329753472, 38.9585489642456, -220.2474031257344, -20.859416286669394, -1.3875435820323005, -11.420768133082655, -59.77196732282519, 47.829912078463806, -56.69577984484151, -151.4059630377098, -153.33960313360194, -47.25197781082616, -83.04800024226164, -48.85758648673035, -179.7977542017958, -85.08205583290645, -108.35983238148731, -190.76685477078064, -199.53754165948934, -18.14823107942583, 10.789402665616086, 7.0]",1.782380599819665
"[132.14121517135223, -0.8373467311728107, 71.41225261883068, 24.07736668490178, 100.07805057202097, -47.58078108592345, 1217.70499202304, 255.02844121275461, 127.1009471454665, -16.670620465717523, 27.22051584865163, 570.7780945012029, -17.19758590128571, 679.4821445211447, -14.285141664497795, 116.12932890967379, 54.60722455394306, 769.4614069353601, 544.4690855756469, 611.6866395433558, 452.04219298824984, 693.9858721255162, 217.73889955692363, 5.977822740814457, 151.1043310286548, 30.391718334315723, -18.835006791411082, 24.93887785445067, -7.923235161139322, -210.7900396445388, -28.214453114006595, -124.42653487620693, -270.8740233353292, 56.04677459878564, 44.82804474206825, -138.49011212315213, -22.699304601260955, -13.733053708885626, 78.12138043139504, -26.206601780479424, 23.678592836601865, -76.87454017336604, -372.3933309210775, -1020.5063998437585, -615.9200325027022, -84.40361094620528, 25.695133262474528, -103.59577564904313, 232.23499133020377, -9.111918232246222, -17.453665172925263, -0.890474140950011, -37.881571679381224, 87.70841242950722, -45.57349506971807, 165.4395327979688, 7.882140963733494, -47.533143824787665, 69.66165493346176, 10.957270724303836, 773.8916155812515, -37.88640659030553, 135.79520661210267, 119.52393982320906, 106.95775867424707, 799.9190239604886, 1310.1901154609875, 364.80281014601326, 147.4153532950567, 115.10840515342258, -0.9742840094146894, -52.038926774591474, 2.0]",2.4408909885613927
"[251.17266342378946, 5.4078618542100365, -79.87454349497992, 88.71165197726354, 9.247604931058818, 76.19824555622914, 28.705438399334348, 9.943009336764609, 206.16467723059844, 48.10286550019436, 15.64215870313563, 124.37774867736759, 268.7994865414463, 376.383816800687, 73.79872407574535, 135.55877698840328, 154.45381329392546, 17.032745285147513, 673.4892919740875, 311.60069843597734, 180.2188918556746, 97.19744158675488, 65.09375333485545, 41.818213641073335, 220.94782824110817, 34.53929286131157, 109.96687012753576, 81.82775404243061, 175.20533897455542, 39.217479612381474, -12.987241273513861, 17.363757422254107, 13.621244634316147, 29.21880848437093, 20.42139151871307, 1.6956747219226713, -33.861215384589215, 33.09066230292218, -98.48558337063442, 8.284953054981765, -49.457680072782736, -6.014669447178555, -11.518512066516443, -130.41422451745441, -38.47790901553976, -32.59908791214133, 41.26600595403397, -22.45682747504762, 186.74897721798726, -98.74721227093278, 56.61555514265037, -73.95328805233089, 43.419697226801716, 58.67138128323001, -0.7116940753414074, -197.73077320817316, -11.059995766531253, -65.98924746283832, -24.350239404667175, -20.901940567107946, -73.93192705103488, 19.10338976229709, -36.70594052132076, -0.6366042084770025, -7.806726530994833, -150.74036584701352, -178.02857613344895, -53.338385510755515, -78.44065210607346, -119.84688972435227, -98.63469185069839, 73.9100800048442, 5.0]",2.0191862353992236
"[191.7361909665385, 88.56366003766512, 19.262410757322353, -237.2525268127301, 85.4751534858588, -110.52492345028418, 151.21183637364615, 591.7334117284391, 169.06535967151737, 88.62265426781894, -6.470022217287406, 102.21398090952688, 164.5149888713942, 109.77551049344308, 392.2978555359099, 73.85251644344817, 101.99805222604132, 203.6484661808237, 240.4617121087896, 321.7603826707449, 100.0700624320419, 143.28291954916318, 21.299028576589055, 80.18231296635443, 80.09814050991702, 10.580300706633107, -5.805264954957661, -22.608063460431037, -43.57529256627358, -38.12307980109388, 67.3207001263631, -16.094299394278302, -7.307773856781088, -31.901338847096024, 14.041631025203678, 47.275527786889874, -61.11294433297872, -31.957517045328913, 69.70308561986198, -5.341097417208171, -33.63982867377739, -39.52756585164262, -126.16577716892644, -33.489389531029644, -113.85819053572769, -33.49933165851083, -5.434194632261904, 13.310892175704549, 125.81920959792194, -32.86119810862931, 26.948403151928417, 78.99716444031446, 4.45716491668048, 31.010132636433053, 35.440561866643, -149.0040132079515, -11.319526973133176, -53.174039042935135, -35.79598926381493, -34.78179299464119, -102.90028854098726, -76.016277564948, -49.78400521929886, -97.57974824091673, -88.79161672766965, -181.53186473827222, -120.88304109080586, -67.63104237294199, -137.64796020646557, -146.3544609458645, -149.7066045266872, -77.43238985928875, 7.0]",1.9069143376942592
"[131.32202320177325, 92.17926693887185, -52.91298770181808, -8.276085295941002, 35.87003065646183, -40.140498419483194, 30.677127198006968, -26.745367801142617, 148.70102236737472, 111.14800063043391, 4.829871115408411, 177.68596316525517, 201.6246408239568, 160.6095020640332, 63.46309317259642, 166.38061587177856, 615.4369522509185, 304.1148351088155, 221.0140340652433, 592.4407749057477, 221.47463321152748, 90.6322537343138, 81.73021393876421, -28.652204616029668, 193.54640619738203, -86.38278970215651, 87.54884761626514, 54.39731133750129, -50.970904858853395, 53.9935328785293, 33.38985196369105, -159.71160801763605, 52.31115357300678, 13.598351288126604, -66.01556101814138, -40.09484079490534, -66.95129858234776, -1.5381277113258427, -137.13179510505336, -4.753554705864074, -44.6240467961305, -59.70159336349326, -81.08071387803125, -27.57449810887229, -59.17965849553721, -26.115617787266974, 31.66304287031977, -47.367149873662605, 211.63198145654346, -130.47055880155884, -35.64154631305948, 141.41137051555268, -43.7925283484177, -37.274464087477796, 102.99810949949213, -113.50836432439097, -247.5617880451948, -17.562131467958192, 26.7724142543077, -1.925245700721347, -96.63341952073122, -75.8095339971606, -10.03359303384365, 12.492962632755638, 13.267523510686788, 36.505390031262145, -229.86879118150244, 60.40853711623831, -178.79288361160246, -237.69527809509242, -20.82760682996455, 73.19734973242073, 3.0]",2.2903137376191824
"[371.5241583766705, -40.85437164340982, -76.16064968907787, -30.425043471069557, 15.691386373502251, 112.15351707523791, 8.210685574279438, -21.631081987411722, 161.0000623722864, 807.8750691837861, 1247.1377697387857, 84.41542182794224, 491.9943833016678, -94.27727492618402, 402.63929430168133, 4.818519799541345, -8.293842994533424, 121.28280234979457, 1222.2310333018634, 394.04310722326807, 139.53650054514557, 273.09441241976475, -80.00322095683524, 100.53459006621733, 195.0954686173131, 42.78642220343675, -132.13079309548255, 22.37881729249531, -63.78005112756741, -2.049800687267701, 46.9659585199532, -108.4227887126189, -17.81194151835368, -60.86354489493444, -24.89324992001553, 4.322396053701947, -23.920656720416233, 48.02213027785233, 48.93640388079799, -148.4140109146273, 65.29160608012225, -51.78617689704848, -512.1392325238112, -478.8487691338072, -333.1477938356687, -102.55121941975939, -101.20561534249532, -22.019068997884794, 100.20510211949706, 44.151945878260044, -17.54186607990544, 51.43881832020068, 48.72750010043511, 18.882260708930453, 28.668921064698623, -0.3537337502169491, 46.85096813958022, -49.47035276456922, 90.80630443927329, -42.52749694018771, -212.96637723447557, 28.29130522070828, 1.2432965323353677, -1.1579970032563658, 89.48655737848418, -55.65530311380517, 158.80758186009766, 774.3756260370172, 163.28806771620225, 89.71154610783032, 66.51462925392129, 249.51160799196728, 2.0]",2.8429842376150822
