VALOR FOB,BARRAMENTOS ALOCADOS,NUMERO DE BCS
1000000.1176825793,"['sourcebus', '650', 'rg60', '671', '692', '675', '670', '632', '680']",9
1000000.1153196119,"['sourcebus', '650', 'rg60', '671', '692', '675', '680']",7
1000000.1156264564,"['671', '692', '675']",3
1000000.1152372947,"['sourcebus', '650', 'rg60', '671', '680']",5
1000000.1163357988,"['692', '675']",2
1000000.116725788,"['sourcebus', '650', 'rg60', '680']",4
1000000.1159913008,"['sourcebus', '650', 'rg60', '671']",4
5.376793525668524,"['sourcebus', '650', 'rg60', '634', '671', '692', '675', '670', '632', '680']",10
1000000.1153436111,['675'],1
5.606507970834055,"['sourcebus', '650', 'rg60', '633', '671', '692', '675']",7
5.295493595579561,"['sourcebus', 'rg60', '633', '634', '671', '692', '675', '670', '632']",9
5.556766273253837,"['633', '671', '675', '680']",4
5.3115890134782635,"['650', '634', '692', '675', '670', '632']",6
5.327007838191422,"['sourcebus', '650', 'rg60', '634', '671', '692', '632', '680']",8
5.3011506386973295,"['sourcebus', '650', 'rg60', '634', '671', '675', '670', '632']",8
5.318702534458318,"['sourcebus', '650', 'rg60', '634', '692', '675', '670', '632']",8
5.319045338343479,"['sourcebus', '650', 'rg60', '634', '671', '692', '632']",7
5.319239809455034,"['sourcebus', '650', 'rg60', '634', '671', '670', '632']",7
5.429280850018216,"['sourcebus', '650', 'rg60', '633', '692', '632', '680']",7
5.342106488038613,"['sourcebus', '650', 'rg60', '634', '671', '670', '632']",7
5.3992194813871555,"['sourcebus', '650', '634', '671', '692', '632']",6
5.453595285307715,"['sourcebus', '650', 'rg60', '633', '670', '680']",6
5.430163410429164,"['sourcebus', '650', 'rg60', '634', '692', '632']",6
5.399786769924947,"['sourcebus', '650', 'rg60', '671', '670', '632']",6
5.469189036820332,"['sourcebus', '650', 'rg60', '634', '692', '632']",6
5.398308195385606,"['sourcebus', '650', '671', '670', '632']",5
5.411432184731667,"['sourcebus', 'rg60', '633', '692', '632']",5
5.413607908190581,"['sourcebus', '650', '671', '670', '632']",5
5.4231485778612045,"['sourcebus', '650', '692', '670', '632']",5
5.447481565373255,"['sourcebus', '650', '633', '671', '632']",5
5.439635496997936,"['sourcebus', '650', 'rg60', '671', '632']",5
5.430065867362273,"['sourcebus', '650', 'rg60', '671', '632']",5
5.456675355821978,"['sourcebus', 'rg60', '671', '670']",4
5.4590374412318665,"['sourcebus', '650', 'rg60', '692', '670']",5
5.463429990170024,"['sourcebus', '650', 'rg60', '633', '671']",5
