Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 69, 1,      41829,   30.0,      1.05, 2,      41829,  -90.0,      1.05, 3,      41829,  150.0,      1.05
"800", 24.9, 1,    15094.8,    0.0,      1.05, 2,    15094.8, -120.0,      1.05, 3,    15094.8,  120.0,      1.05
"802", 24.9, 1,    15094.8,    0.0,      1.05, 2,    15094.8, -120.0,      1.05, 3,    15094.8,  120.0,      1.05
"806", 24.9, 1,    15094.8,    0.0,      1.05, 2,    15094.8, -120.0,      1.05, 3,    15094.8,  120.0,      1.05
"808", 24.9, 1,      15095,    0.0,      1.05, 2,      15095, -120.0,      1.05, 3,    15094.9,  120.0,      1.05
"810", 24.9, 2,      15095, -120.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"812", 24.9, 1,    15095.1,    0.0,      1.05, 2,    15095.2, -120.0,      1.05, 3,    15095.1,  120.0,      1.05
"814", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.1,  120.0,      1.05
"814R", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.1,  120.0,      1.05
"850", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.1,  120.0,      1.05
"816", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.2,  120.0,      1.05
"818", 24.9, 1,    15095.3,    0.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"824", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.2,  120.0,      1.05
"820", 24.9, 1,    15095.3,    0.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"822", 24.9, 1,    15095.3,    0.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"826", 24.9, 2,    15095.3, -120.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"828", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.3, -120.0,      1.05, 3,    15095.2,  120.0,      1.05
"830", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.4, -120.0,      1.05, 3,    15095.2,  120.0,      1.05
"854", 24.9, 1,    15095.3,    0.0,      1.05, 2,    15095.4, -120.0,      1.05, 3,    15095.2,  120.0,      1.05
"832", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"858", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"834", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"860", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"842", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"836", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"840", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"862", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"844", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"846", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"848", 24.9, 1,    15095.5,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"852R", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"888", 4.16, 1,    2521.97,    0.0,      1.05, 2,    2521.98, -120.0,      1.05, 3,    2521.95,  120.0,      1.05
"856", 24.9, 2,    15095.4, -120.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"852", 24.9, 1,    15095.4,    0.0,      1.05, 2,    15095.5, -120.0,      1.05, 3,    15095.3,  120.0,      1.05
"864", 24.9, 1,    15095.4,    0.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"838", 24.9, 2,    15095.5, -120.0,      1.05, 0, 0, 0, 0, 0, 0, 0, 0
"890", 4.16, 1,    2521.97,    0.0,      1.05, 2,    2521.98, -120.0,      1.05, 3,    2521.95,  120.0,      1.05
