Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"SOURCEBUS",    41829.1,      1.05,    69.00, 0.00698048, 1.669E-005, 2.72117E-006, 6.505E-009, 8.1635E-006, 1.673E-005
"800",    15094.9,      1.05,    24.90, 0.00454222, 3.009E-005, 0.00430917, 2.855E-005,  0.0129275, 3.004E-005
"802",    15090.5,    1.0497,    24.90,   0.528249, 0.003501,    2.08309,   0.0138,    6.24926, 0.003489
"806",    15087.7,    1.0495,    24.90,   0.905308,    0.006,     3.3677,  0.02232,    10.1031,    0.006
"808",    15037.6,     1.046,    24.90,    8.86054,  0.05892,    25.2794,   0.1681,    75.8382,  0.05743
"810",          0,         0,    24.90,          0,        0,          0,        0,    15020.5,        0
"812",      14980,     1.042,    24.90,    20.1341,   0.1344,    47.5701,   0.3176,     142.71,   0.1299
"814",    14933.7,    1.0388,    24.90,    29.4674,   0.1973,    65.1055,    0.436,    195.316,     0.19
"814R",    15618.9,    1.0865,    24.90,    197.297,    1.263,      249.1,    1.595,      747.3,    1.259
"850",    15618.8,    1.0865,    24.90,    197.296,    1.263,    249.106,    1.595,    747.317,    1.259
"816",    15617.8,    1.0864,    24.90,    197.265,    1.263,    249.276,    1.596,    747.828,    1.259
"818",          0,         0,    24.90,          0,        0,          0,        0,    16049.6,        0
"824",    15590.8,    1.0845,    24.90,    202.521,    1.299,    266.422,    1.709,    799.265,    1.291
"820",          0,         0,    24.90,          0,        0,          0,        0,    15916.4,        0
"822",          0,         0,    24.90,          0,        0,          0,        0,    15899.3,        0
"826",          0,         0,    24.90,          0,        0,          0,        0,      15317,        0
"828",    15588.7,    1.0844,    24.90,    202.892,    1.302,    267.742,    1.718,    803.225,    1.293
"830",    15538.4,    1.0809,    24.90,     212.24,    1.366,    300.472,    1.934,    901.417,    1.346
"854",    15537.2,    1.0808,    24.90,    212.502,    1.368,    301.325,    1.939,    903.976,    1.347
"832",    16614.8,    1.1557,    24.90,    290.562,    1.749,    447.809,    2.695,    1343.43,     1.74
"858",    16613.1,    1.1556,    24.90,    292.788,    1.762,    455.794,    2.744,    1367.38,    1.752
"834",    16611.4,    1.1555,    24.90,    295.405,    1.778,    465.415,    2.802,    1396.24,    1.766
"860",    16608.8,    1.1553,    24.90,    295.235,    1.778,    465.524,    2.803,    1396.57,    1.765
"842",    16611.7,    1.1555,    24.90,     295.57,    1.779,    465.865,    2.804,    1397.59,    1.767
"836",    16607.3,    1.1552,    24.90,    295.331,    1.778,    465.752,    2.804,    1397.26,    1.766
"840",    16607.2,    1.1552,    24.90,    295.347,    1.778,    465.744,    2.804,    1397.23,    1.766
"862",    16607.3,    1.1552,    24.90,    295.343,    1.778,     465.78,    2.805,    1397.34,    1.766
"844",    16612.7,    1.1556,    24.90,     295.43,    1.778,    466.376,    2.807,    1399.13,    1.766
"846",    16618.1,     1.156,    24.90,    295.299,    1.777,    467.653,    2.814,    1402.96,    1.765
"848",      16619,     1.156,    24.90,    295.248,    1.777,    467.775,    2.815,    1403.32,    1.765
"852R",    16614.9,    1.1557,    24.90,    290.558,    1.749,    447.793,    2.695,    1343.38,     1.74
"888",    2739.65,    1.1407,     4.16,      47.96,    1.751,    74.8153,    2.731,    224.446,    1.743
"856",          0,         0,    24.90,          0,        0,          0,        0,    15235.1,        0
"852",    15453.2,    1.0749,    24.90,    230.332,    1.491,    364.035,    2.356,     1092.1,    1.443
"864",          0,         0,    24.90,          0,        0,          0,        0,    17315.4,        0
"838",          0,         0,    24.90,          0,        0,          0,        0,    16111.2,        0
"890",    2658.75,     1.107,     4.16,    46.7044,    1.757,    72.6575,    2.733,    217.973,    1.721
"1",        NAN,         0,     0.00,        NAN,        0,        NAN,        0,        NAN,      NAN
