cromossomos,fobs
"[155.90180302656097, 78.98614198745595, 275.7051977927057, -77.50150788335327, 193.38018285969773, 93.65621530959912, -43.99599109014882, 37.68197619553245, 119.53131915396156, 109.52232120096963, -110.19275258485334, 66.37213361220599, 478.91439108257595, 79.8949171787589, 147.60146198302698, 76.89303053211349, 56.84562866994088, 294.7652019025009, 172.51759517520557, 399.33466576888793, 288.14916505865153, 143.82395564837702, 51.214996444385775, 19.084364143342924, -17.66183161815236, 60.192826705068605, 19.018190297078842, -41.30164340531985, -39.51151966879105, -55.411981436189166, -23.598641416962348, -72.46726039397495, -43.9612374504365, -50.735289991936504, -26.621318817294103, 22.692313989154126, 48.60789627422083, -5.775403825468072, 33.853438218736414, 44.265785821464064, -29.14653425110946, -67.19424644280717, -197.81743706296768, -145.43046437191902, -151.82591045365416, -242.30867511038764, 20.127834768461295, 14.627431169796267, 173.72304795916776, 10.018169730912076, 243.65616458273166, -144.43119014593532, -33.6074522944812, 134.7347012812584, 154.71005868653194, -59.956940744561535, -75.81146325674541, -98.66248669985166, -65.48850704654284, -57.45025267925496, -28.973525294099606, -166.90570749758157, 30.090112841637158, -15.758204627702485, -106.84160481121934, -47.084756255139084, -234.78353900722894, -125.00844302624488, -179.38496508572243, -179.4871891006338, -114.43397546584742, 37.420693878635404, 2.212687283032092]",1.1939307530691172
"[90.35437392360558, -9.022334328927492, 14.93434827676568, -7.140758553809462, -45.5765004671842, 84.46193579590252, -21.29305623112831, 146.00712042271826, 113.07284021623771, 50.130764164569605, -41.09467016145963, 44.26712945766513, 310.94595196633503, 147.88263708604035, 120.2473655136997, 164.61358799873025, 69.16860302776136, 138.2279753152223, 319.80510739292134, 234.4307826588124, 250.22213445640386, 119.6813306504648, 155.3032282581813, 53.27939731520674, 149.94938346627094, 94.47713208600801, 17.148365907096498, -71.46482671091175, -16.25003353787901, 6.5718690600058265, 62.11081682782897, -53.65323111175997, -323.2236775096777, 44.424429229970094, -1.2896636178426395, -69.71862618630202, 17.37979446873491, -274.126239834689, -143.5598271607529, -69.5444585593968, -101.81437522110923, -65.7337653943165, -71.79730425654068, -349.8587675182162, -317.8235365465164, -248.08415267749086, 1.5098768086564218, 43.785422140827094, 167.01837164791016, 75.89451178381454, 44.981233760903734, 6.755244958824301, -140.16208553274467, 52.31753191167548, 24.90511804107415, -66.64606715174031, -82.1608096360169, -54.89818524946236, -18.31495167000972, -85.03389936647669, -58.408564921101956, -53.80589273816144, 1.1943795154651167, -45.52050828762442, -127.05057893604163, -182.1925608697591, -154.43983761240955, -326.50918725167185, -246.8954379580455, -259.93017208676974, -10.326370604956205, 1.050373269758051, 2.0]",1.1257549146245402
"[186.96625139370198, -27.475961821640812, 78.99461420954854, 40.3202973663311, 101.17599052180236, 66.71359169609318, -39.841487816023026, 97.14731374382636, 256.0122491608361, -0.2438398667026289, 39.01076685460306, -46.78740431580641, 228.25553844331412, 20.412986141954086, 74.26179391544632, 49.62923071515214, 130.48756866912325, 239.49121535654112, 240.95419358990887, 310.98362305754637, 216.06033772310246, 145.89699935921303, 96.61980825919734, -0.7372119612098332, 134.29669520285617, 15.149140564715594, 13.666334635303382, 64.79952942574592, -69.4823542091381, -14.433074221411447, -128.92742256539262, 18.112735385299256, 64.01520351852545, -242.44716887844922, 36.69943605591763, -62.921657001130505, -27.39001190307446, -206.76854026879414, -24.90344348327863, 21.490977275361804, -67.91254090168437, 23.35459022205638, -149.24290187920826, -222.29527591204547, -328.9082509679601, -173.40594354522162, -29.91174689236351, 17.676280323173074, 238.6608485260543, -130.41032787322231, 5.153252812499322, -46.95955500930408, 78.12104722439207, -241.9583817818552, -88.04318530039548, -88.60787997913494, -39.41096713744205, 0.7742483539754159, -21.508823677603715, -226.54176598784338, -113.8577953060008, -208.51972065007098, -107.4490531825966, -118.23070485732788, -42.001754686231386, -55.08360179943544, -207.54623899511654, -246.7378770254301, -276.484248700267, -241.71954699863934, -62.64126300575909, 42.54531140987506, 2.0]",1.1368417967682474
"[170.14274253825812, 106.24571775372573, 58.90498963633504, 57.59540888807495, -73.46684446773571, 87.22742326162609, -46.435608090148875, 117.53287895849051, 314.46347061308643, 46.96324637929985, 11.950370439809074, 147.1993738979347, 190.34657539082104, 112.40864012998155, 81.88935950734154, 85.35372498151514, 202.1626935581607, 129.9076260262918, 579.8593723830797, 443.37767617346395, 338.24655166327864, 222.24748807648368, 43.76520674124909, 34.72778009345073, 223.5151540977811, 24.008925129870537, -52.062534692391964, -125.01063836439593, 50.11891003182716, 23.741313691211737, -45.593263237125555, -60.1572532730128, -90.16810186521823, -96.56083917062072, 45.40192676726568, -22.389625038897012, -159.70657334443695, -157.7991137027148, -198.56216043291883, -98.03520593695316, -151.03362696597358, -305.0602422058722, 11.958601023507011, -116.11896846286879, -119.02162788359206, -128.815242949051, -41.512431976416096, -37.74118762171563, 116.3708859539626, -12.59605921956091, -42.88231789241071, 54.918019905633535, 47.36834340073597, -77.95289841806466, 76.13695048448596, -36.62388236782231, -17.17024420868328, -78.11568270834225, 30.56833711534375, -198.23079927308336, -110.75229548389845, -118.2904346543664, -44.20704393964576, -19.730493640237672, 49.288982871334376, -124.16099581170127, -83.94387587601223, -122.31319936029485, -176.32700269204156, -167.98017201886972, -166.41020673573192, 38.78345161062597, 2.0]",1.1174410734164246
"[187.6628766029813, 3.9024959989122827, -8.879780445746732, -59.935669341042086, -13.826531503350399, 0.7387033567505228, 102.73712186012753, 108.10221620048875, 66.14671909035049, 69.91857995531556, 52.61600104158684, 93.62070844485787, 268.4545700150041, 325.9474125651546, 154.53441465114327, 197.18181140283627, 110.83095475518239, 216.7494504009866, 262.4754801032732, 316.72033311537257, 363.30550505826375, 120.82870834704967, 82.7937262149257, 47.02353914840621, 181.06332609999384, 56.380481701887106, -41.754955211399164, 148.6427405985186, -151.6128012623859, -34.85894525128757, -20.21452872331244, -133.70154937776894, -289.5463750429127, -7.481161426639033, -160.58407903891393, 42.435872793770244, -76.91882105978546, -11.361203004717087, 13.07879209119385, -21.703927491842514, -130.99002124103043, -76.4511015446574, -203.90246293633206, -213.26565451605035, -106.52849505533317, -226.72772932958443, -33.15953247554497, 66.69381156924592, 199.19526931061927, -32.789655288701844, -47.00010042869161, -50.63675213113102, -4.109950927660363, -121.3151013972891, -84.06300382344172, -25.109374454069883, -163.75942774107315, -4.3697349449551774, -118.03372149423734, -82.68993533382239, -57.78258629844709, -8.454840287151825, -23.60036644318576, -41.703986166183334, -66.09386600566097, -65.24238503309473, -184.05808448504075, -253.3778599766865, -148.90991658513104, -273.6359404118748, -143.14896641102652, 115.82789572005316, 2.0]",1.1158878251203344
"[200.3670824255103, 33.02862966853728, -145.05103761362648, -48.19106878290366, -12.968090458730762, 191.4484127386735, -53.33767433730834, 64.3443123310078, 170.02690466582942, -116.27946547932014, 163.4799185072506, 39.641758520727194, 176.2561221430726, 155.76471508152022, 16.65262963591239, 59.51026215164813, 249.9900247013917, 234.37357230164912, 624.4623569641551, 470.6161167358853, 507.500834661937, 311.30567553497735, 83.41462875620621, -95.00200345825249, 290.23119881993813, 9.1044745918986, -28.664542212317485, -46.70485934790053, 57.05256349671026, 64.89633507755909, 181.38786170399013, -41.467840428044596, -120.49665848975472, -217.87265257761112, -34.048548066127694, -267.13408953412517, -388.5055934101591, -140.1856337093972, -164.3851830716146, -89.30717880727269, -1.6369847356190386, -136.02342793670093, -213.80153790755983, -587.1401566935087, -400.9911019346105, -388.12500320579863, -56.8342693089629, 83.82932308532877, 237.0062369587031, -87.96659498611218, -121.32218298789026, 14.23198417265991, -23.261845697496028, 47.31061991290675, 7.843880766890803, 167.21384547860347, 244.13172872547705, 65.3210307018538, 191.0832189968131, -65.10566491517422, 212.53869927340241, 226.49175646032091, 0.9044634918639025, 25.198413766726663, 33.41158927698891, 375.2251660185477, 238.27155393355474, 256.922882191178, 327.96388834806976, 163.36487947328882, 64.51947271984572, 38.90905232780961, 1.0]",1.2409865259732897
"[152.99254122715507, -62.23768425667761, -18.739481408937834, -6.5147255479349715, -61.269626999006505, 15.403659444134128, -6.899679266924931, 40.14313002139241, 83.76417828862346, 96.4439188621202, 69.58931858735878, 66.5380898959079, 278.22268150868297, 259.6138663115268, 146.99392392590215, 35.4991559769561, 162.29732950631083, 184.62158960654617, 392.7982083500582, 538.370191342158, 271.8389463150393, 276.3319277655236, 91.45158437661216, -15.410757109960254, 287.19021855788856, -30.450242317384255, -36.67817498254412, -27.75233413845734, 79.51029916416334, -59.62594546139016, -13.518179759479555, -248.79438893317305, -218.6623851652329, 31.458739547754764, 122.37742364417193, -125.44918929201653, -142.6574454738713, -16.389907012577364, -92.97271246255744, -128.9807827433402, -98.46558244457604, -262.50834797583724, -155.00377752874127, -99.52155664985449, -279.6580188534451, -187.56368412094534, -93.96086190522216, -49.60659340667368, 168.22653503859524, 89.0291633428548, -135.8324463718965, -5.74534997270016, 0.17642481758252293, -3.179562193282445, 31.07234654321914, -155.30586848543166, -208.0388241583737, -88.94214077544316, -69.35844539703069, -118.63877724094806, -223.49637298568396, -127.35768397778166, -63.15441017634437, -165.90612746912834, -157.99457645816446, -126.47261386930559, -86.7055109495782, -69.27274549663235, -274.1529239077376, -179.04145559006815, -146.48165311609637, 55.10214252583741, 2.0]",1.0445260407603776
"[145.02493013292565, 55.854451705198414, -4.237791600640998, -19.611441866105846, 53.60444360789056, -93.16188377475967, 83.43120082865974, -15.900973928042026, 142.5041127827071, 123.843243937087, -21.993793689804527, 3.8052859313973038, 233.50865251105805, 78.4461764443495, 78.20818719261317, 13.540591537834972, 8.494704121883217, 122.24929797277896, 230.40472905199408, 398.1101337994529, 319.18769514230735, 238.23111012889186, 109.1554382499416, 61.33508501076883, 249.95822492610262, -26.55278606505317, 73.5883883163447, 113.72965715862128, 41.16016282438077, -17.354447104100434, -7.942363468518776, -410.9493621660572, -21.887967746477965, -3.4502916314151326, 27.906655101679576, -91.56917725891414, -271.4383107314536, -82.59112909159758, 7.734899551702572, -44.39533480341788, -108.08822260212065, -129.80119229257406, -143.11017295878557, -216.8422105904054, -190.64089421102756, -54.547249070913495, -1.31899927449699, -18.53490837050203, 185.810843376037, 80.90665344409503, 44.252524516272366, 35.02314342366029, 117.52425541153117, 9.967457949077927, -24.94442219731389, -91.85002106296106, -102.02370858880872, -194.13000202301905, -133.07580130385497, -94.72990630067164, -79.37025246264686, -164.08974415464093, -95.80955362763423, -107.11829574403846, -187.18097642570712, -138.82640297950078, -203.61208129051454, -149.17218597005385, -170.48464516291048, -166.15140646193205, -137.83848682216546, 5.75620138404359, 2.0]",1.155198829706902
"[123.72169674230781, 56.15666390121621, -156.05287731932367, 50.422614343625305, -37.11800575668919, 38.66047934412475, 29.821585175145014, 57.962588560684935, 265.88602729143616, 131.84624617799233, -5.3063913506896645, 511.9993920597591, 117.46340101987842, 66.3677411812967, -64.77237171932971, 14.1980514645214, 36.58657981962482, 21.73865219469282, 309.0111503939086, 612.6220546684704, 516.5278866528334, 347.570065364619, 25.770748269947195, -98.26782740899785, 152.40807547973316, 29.52633298305233, 50.806961991731576, 105.79846532949325, 87.08199772414522, -90.36770870844794, -72.65282506399002, 28.9307343705644, 6.170048826122162, -6.240324257827483, 36.05874294805547, -78.30405520604113, -267.7069500463818, -116.70163650873357, -67.16722578187694, 51.306324115408856, -87.58943422344137, -267.8957806103214, -488.13026045015465, -392.0622501395475, -385.0316712564121, -272.3549702191443, 12.078195470585921, 35.69618923729916, 76.26949545949358, 104.409860267468, -27.96364367260262, 6.9511987690153205, -50.708721615144576, 29.213658300453233, -44.61644738153762, 41.83902866330778, -0.9492421254750003, -64.93455864323649, -190.98392055020884, 35.341525992403504, 142.41837306347813, 170.0579184456542, 28.49907694173634, -31.655045598041745, 36.66168890542166, 291.3862569285556, 74.96212319932081, 314.4033670136687, 131.94144102908797, 39.27111250882759, 10.894953272468584, -98.9177407881208, 1.0]",1.3161419192861772
"[180.76149124817945, 26.021468195687703, -31.0452767072527, -79.84252812510924, -0.3517299074071829, -10.037010491045951, 90.65446910775007, 124.36822478994308, 199.67240348065002, 43.00117033893852, -38.162219847588844, 59.12078662344626, 205.3077141131628, 151.35785881092704, 77.89283550367495, 136.58657470033728, 97.93155156209536, 94.19106420707857, 236.1061822836915, 367.75059986016885, 279.03078297646726, 215.74863505447513, 55.72637393528279, 57.322396317681026, 223.62353397073915, 106.38875672789852, 194.15923720912366, 31.226173374527793, 74.97517342696429, -67.57624922603797, -69.23814802315272, -42.17072571750453, -20.566187086164806, 11.72152894068158, 69.34512587389514, 32.77157891697959, -17.041538654669093, -80.91674757294473, 22.505834855998003, -35.86603088168221, -255.6476351323354, -234.8753785600973, -180.41631296349036, -197.51432812630512, -159.90065216532574, -66.96805196419082, -196.13965084661865, -22.16418828969258, 167.9723298253073, -26.41135049050459, 77.50443275760212, -60.29387732634847, -52.63754332237976, -490.22881529297604, -22.75692101965476, 9.398831619549819, -15.442176737954867, 3.6632781816130167, -7.692975730884777, -98.95047545219737, -105.00189010520289, -50.102710039441114, -93.442334531861, -18.83838849500632, -15.647414390461737, -139.21552087618096, -181.04111372442526, -174.4506412353278, -211.3605295601678, -175.72252123518712, -31.54883680317064, -26.96913393032417, 2.0]",1.1608476086426658
"[266.59431577716765, -61.01937312744808, 37.056471366212996, 40.72149109701541, 18.37924164630629, 52.67999808937115, 12.858015640535921, 22.207023855419504, 71.98444636944795, -34.78261385430122, 66.82756374083584, 247.30181219201432, 273.3914157738649, 88.94310962766451, -28.370615063858686, -46.61690049065858, 153.53230692700393, 176.64850768086953, 453.91587793938714, 493.42184284926395, 406.291725382046, 229.49795020019465, 117.11734661418998, 55.9549300069359, 47.66709536309322, -152.44431217868922, -54.47881726938066, 37.917939050079454, 63.81310841305717, 82.71459390012343, -87.69369160043607, -148.45231816728827, -119.91806117841635, -112.0987667852652, -20.319990564215487, -54.2603706138842, -67.46706500765386, -151.46028379046754, -71.4190298395879, -142.27191063130658, -28.433873704379053, -64.10873044387282, -217.24493200302194, -527.2103409149493, -380.9007317591669, -271.0610824203209, -30.79927410528756, 141.71357195562925, 170.8287911124872, -63.05733121121669, -174.494601429333, 118.58814427520258, 18.55904301891236, -85.35427170736715, -56.17206507029883, 10.852018941190146, 200.9435285082525, -14.192654656388413, -25.24381349383886, -13.768661460937057, 347.65255647637747, 47.01716202840596, 23.981747739362284, -55.18095816463359, -2.140982105402984, 508.6343298050773, 356.72235889733844, 175.94811429828653, 507.59160673563565, 471.42886124487234, -27.482237025321677, 25.928946277682684, 1.0]",1.3061747658393013
"[140.16856236348787, 101.62259763353488, -53.38291767412798, -19.895129470789158, 8.569383699044248, -57.67650835168401, 99.35425300941294, -31.241568414989825, 319.6396089931741, 9.74085228063901, 61.80276988420094, 54.09410692094208, 89.70956486560378, 216.63869104073433, 224.80769524373082, -27.6567727691433, 261.19249784882066, 90.55018766538791, 515.9861220289, 685.1511019027521, 530.6673174312572, 562.4503404539631, 37.248693976109735, -65.71005209365904, 238.52403973221988, 31.365688267214196, 5.806318524370203, 42.05677298984478, -186.09187182765993, -142.69456173551777, 51.11803148360172, -107.79064171863085, -40.02503868284148, -14.50581702410004, 50.69967421632515, -89.74352531707986, -488.99607723727905, -75.91014141524964, -38.79109645527824, -58.63617487993871, 17.029481187328273, -323.944016576035, -298.57952908777634, -351.623921255972, -338.48973842355895, -97.1938307611309, -144.76871006659852, -54.913142932347135, 183.36716898934117, 39.28880835781478, -36.216991132950625, 57.38504226153505, 62.68251619052129, 11.53218091241577, -26.081422156028477, 178.5444859493811, 57.38690433215243, -46.43788888559819, -66.07315777996189, 85.00581610217097, 154.0582321950596, 175.1263959833904, 81.33844277975462, 26.437461822259298, 0.3400202040228764, 139.13024766315033, 181.16321915613187, 364.94336340609556, 398.7936567076457, 203.53096201806267, 56.57105485123296, 48.579513544890546, 1.0]",1.2536261300302551
